gene,quan,ess,interact,rec,avg_cv,avg_intra_cv
YDL053C,122.12,OTHER,,1.22,0.252676350834647,0.287389765122212
YDL052C,129.63,OTHER,,0.97,0.141613437005715,0.207279634426546
YDL051W,175.45,OTHER,19,0.95,0.128433701894863,0.197546148188698
YDL050C,5.25,OTHER,,0.97,0.215663408665,0.259843922872796
YDL049C,32.82,CHEM,,1.11,0.175716698653831,0.193895226154061
YDL048C,315.6,RICH,,1.22,0.106708526406476,0.22985042189448
YDL047W,127.33,RICH,,1.1,0.123789068755317,0.221841435964291
YDL046W,195.3,OTHER,,0.94,0.0791552212504328,0.200129995750219
YDL045W-A,114.95,OTHER,,,0.114519063050967,0.176543457735067
YDL045C,34.65,ESS,,0.88,0.0854233294125899,0.208651803853688
YDL044C,24.37,RICH,,0.79,0.139931180809627,0.286669951744066
YDL043C,37.63,ESS,,0.87,0.0954680611203446,0.25634763525099
YDL042C,42.77,OTHER,,0.88,0.145082194537556,0.282973126939005
YDL041W,0.48,OTHER,,0.82,0.160596382653732,0.231162862528188
YDL040C,105.33,RICH,,0.85,0.105684138713406,0.261684754907808
YDL039C,95.47,CHEM,44,0.83,0.0896868117816599,0.230622592247113
YDL037C,54.8,OTHER,,0.77,0.0535009249812929,0.220142672625209
YDL036C,24.95,CHEM,18,1,0.0727952650535979,0.298247636421713
YDL035C,63.53,RICH,16,1.08,0.122762583951659,0.240454078935022
YDL034W,0.07,CHEM,,0.81,0.183752955099852,0.236241048638068
YDL033C,13.78,RICH,,0.8,0.0961463862647257,0.230548227023113
YDL032W,0.27,CHEM,,0.89,0.19322062431506,0.288109054352557
YDL031W,113.8,ESS,,0.88,0.155046772145812,0.264629460128734
YDL030W,32.78,ESS,,1.04,0.135733593791548,0.244999792871721
YDL029W,208.88,ESS,,0.66,0.140915478445287,0.227632413002906
YDL028C,37.97,ESS,,0.73,0.160805947293572,0.238140484116377
YDL027C,44.92,CHEM,,0.89,0.136828027207322,0.267398371380169
YDL026W,0.97,CHEM,,0.86,0.152395617196143,0.227578578245529
YDL025C,48.77,OTHER,,0.85,0.133053009914662,0.238162649089871
YDL024C,6.32,OTHER,,0.88,0.119069377702636,0.221474924878692
YDL022C-A,0.15,OTHER,,,0.137348830693756,0.161662883449856
YDL023C,0.33,OTHER,,1.21,0.116540523062809,0.443007366723425
YDL022W,241.35,OTHER,,1.23,0.143347168913739,0.169264953506008
YDL021W,33.22,OTHER,,0.92,0.106550915784541,0.264593455552534
YDL020C,344.07,RICH,100,0.9,0.163131887449134,0.250995932651069
YDL019C,62.15,OTHER,,,0.139991259378731,0.220999660081008
YDL018C,42.75,OTHER,,0.85,0.114822778232142,0.219506760141171
YDL017W,25.77,ESS,,0.83,0.14261962039247,0.254487151563871
YDL016C,23.87,ESS,,0.94,0.168286893936534,0.305343452739677
YDL015C,203.05,ESS,,0.93,0.138702827255582,0.299274886771353
YDL014W,642.43,ESS,,1.045,0.192093505674537,0.208382350886412
YDL013W,28.68,RICH,,0.96,0.142218578928558,0.211161370019427
YDL012C,113.33,OTHER,,0.795,0.163341927206011,0.159129358388107
YDL011C,0.18,OTHER,,0.97,0.199559157365569,0.323420912025998
YDL010W,86.25,CHEM,,0.95,0.150925138913081,0.281550756928158
YDL009C,6.55,OTHER,,0.99,0.0914670011358737,0.176813556969681
YDL008W,37.13,ESS,,0.94,0.174758077141217,0.268032335188977
YDL007C-A,0.18,OTHER,,,0.172650518759621,0.300375685999265
YDL007W,236.15,ESS,,0.83,0.1522043172048,0.267828887251203
YDL006W,23.62,RICH,141,0.75,0.0968718881297538,0.258493164383079
YDL005C,57.37,OTHER,16,0.76,0.145549860930947,0.319646499435022
YDL004W,328.02,ESS,,0.96,0.105564088904912,0.23233712351087
YDL003W,55.32,ESS,,0.89,0.119162818209413,0.230241833066939
YDL002C,75.85,OTHER,,0.995,0.143833086665346,0.264107974292753
YDL001W,39.28,OTHER,74,0.75,0.119989441834649,0.228414179507561
YDR001C,94.55,OTHER,3,0.91,0.132716375622053,0.246912817923599
YDR002W,543.22,ESS,,0.82,0.181599705578191,0.191009327897732
YDR003W,52.6,OTHER,,0.81,0.190100060667175,0.258536542755114
YDR004W,40.52,RICH,37,0.79,0.133310973030155,0.25728414380717
YDR005C,38.7,OTHER,30,0.91,0.125762141401207,0.270863620266254
YDR006C,88.22,OTHER,,0.84,0.19268835567855,0.215744889439731
YDR007W,77.18,OTHER,,1.1,0.141686504177056,0.248570443106929
YDR008C,4.97,OTHER,,0.9,0.184994260689506,0.29183921683415
YDR009W,8.2,OTHER,6,0.97,0.108219022800314,0.237194008579376
YDR010C,0.17,OTHER,,1.15,0.134132827482212,0.277501723756485
YDR011W,573.33,OTHER,,0.93,0.134288670194635,0.238525140527878
YDR012W,1274.83,OTHER,,1.22,0.152807679083801,0.184122754253083
YDR013W,56.02,ESS,,0.955,0.127823340711878,0.236588222718927
YDR014W,16.47,OTHER,51,0.87,0.144225660970955,0.246356342154886
YDR014W-A,2.27,OTHER,,,0.162286569107876,0.187880551381864
YDR015C,2.5,OTHER,,0.81,0.14333793136134,0.290580730907343
YDR016C,142,ESS,,0.69,0.0966592473418549,0.179039752141553
YDR017C,86.67,RICH,,0.8,0.135050416027635,0.237647435996793
YDR018C,13.4,OTHER,,0.98,0.0712442087322762,0.255773716865711
YDR019C,143.52,CHEM,,0.725,0.111429732385803,0.246719739742293
YDR020C,26.57,RICH,,0.79,0.132644418992729,0.326734948542116
YDR021W,32.93,ESS,,0.82,0.125081344587782,0.229539489431131
YDR022C,31.95,OTHER,18,0.8,0.0821641690232373,0.296753271514504
YDR023W,437.43,ESS,,0.84,0.159673464149108,0.196219487562991
YDR024W,141.25,RICH,,0.95,0.247637425751139,0.257143584776785
YDR025W,1657.87,RICH,,0.95,0.2234302218609,0.2178229381353
YDR026C,47.12,OTHER,,0.88,0.140013625348604,0.247891212950414
YDR027C,43.17,CHEM,,0.84,0.135261559979703,0.243831719825611
YDR028C,65.38,RICH,,0.65,0.0854458353048223,0.245802880580193
YGL263W,0.02,CHEM,,0.97,0.104776908725751,0.274049758948825
YGL262W,0.03,OTHER,,0.84,0.136036313676646,0.312740641870336
YGL261C,0,CHEM,6,1.27,0.286959243513547,0.25150525599727
YGL260W,0.07,CHEM,,1.12,0.0972680434873401,0.0941357695147677
YGL259W,0.47,CHEM,,0.79,0.138455939143231,0.237425981071079
YGL258W-A,0.83,OTHER,,,0.10516170177381,0.269661088217468
YGL258W,4.22,CHEM,,0.83,0.138008184076461,0.149699534544074
YGL257C,48.63,OTHER,8,0.7,0.116821457255124,0.222783172696575
YGL256W,60.22,CHEM,,0.79,0.147663686741106,0.203159166559842
YGL255W,22.7,OTHER,,0.83,0.174544696935241,0.164713663296123
YGL254W,17.82,OTHER,,0.87,0.110188165262149,0.215092069698217
YGL253W,1154.48,OTHER,42,1.06,0.157900643118053,0.194832454830204
YGL252C,87.12,OTHER,72,0.78,0.121024227751897,0.242101853122245
YGL251C,11.9,RICH,,0.83,0.0645962830804262,0.293673458300543
YGL250W,17.6,OTHER,,0.81,0.152721662784992,0.227900502930005
YGL249W,2.25,OTHER,,0.97,0.12042035989726,0.267882010362531
YGL248W,45.77,OTHER,,1.04,0.117808759657151,0.221079580513722
YGL247W,44.2,ESS,,0.77,0.175611539973844,0.277911538897915
YGL246C,80.15,RICH,,1.02,0.0856841545942873,0.299859649875016
YGL245W,356.45,ESS,,1.05,0.103219545621983,0.20027321442241
YGL244W,85.18,RICH,125,0.93,0.128757423990796,0.205782405563338
YGL243W,39.88,OTHER,,0.84,0.183833976781123,0.262595494332955
YGL242C,85,OTHER,,0.96,0.142712051101958,0.312199096546282
YGL241W,34.13,OTHER,,1.11,0.0970361562080824,0.227549879059699
YGL240W,6.1,RICH,,0.79,0.0998634986574622,0.17491253170014
YGL239C,0.03,ESS,,0.91,0.129349738039067,0.416868741889877
YGL238W,130.32,ESS,,0.89,0.128680092896335,0.263498355943748
YGL237C,30.7,OTHER,38,1.12,0.133851172378291,0.248693461829705
YGL236C,29.02,RICH,41,1.68,0.123076588435606,0.219680901116473
YGL235W,0.43,CHEM,,1.71,0.0874897309740106,0.18661263938183
YGL234W,306.7,RICH,,1.15,0.14142309428993,0.193950226033361
YGL233W,67.03,ESS,,1.34,0.187963829714528,0.258076300475552
YGL232W,114.05,OTHER,,0.9,0.121491966224442,0.253385975039967
YGL231C,193.72,OTHER,,1.02,0.173149333388036,0.20631409287648
YGL230C,6.05,CHEM,,0.87,0.165121327588824,0.261366199932456
YGL229C,34.02,OTHER,,0.91,0.15132310930736,0.24804806736958
YGL228W,93.72,OTHER,,0.81,0.124003400795508,0.24298547929148
YGL227W,35.42,OTHER,16,0.85,0.146050453056657,0.276994035613487
YGL226C-A,209.58,OTHER,,,0.102530495367778,0.265001784622361
YGL226W,19.28,OTHER,,0.9,0.200360446827271,0.200373416436621
YGL225W,306.35,ESS,,1.25,0.158021041820619,0.20391963534859
YGL224C,70.03,OTHER,11,1.22,0.104718289879632,0.234164218316564
YGL223C,51.1,RICH,,1.14,0.108270321097699,0.288546185862405
YGL222C,2.88,CHEM,,1.15,0.191164087252454,0.351156548132296
YGL221C,85.62,OTHER,,1.07,0.113106257555039,0.185614059411899
YGL220W,154.2,CHEM,,0.83,0.147136259803066,0.211474961847521
YGL219C,54.55,RICH,,0.96,0.134836200899151,0.209451164270125
YGL218W,0.25,RICH,,0.93,0.12823863758222,0.275072969406335
YGL217C,0.4,OTHER,,0.91,0.154721889466622,0.190216121859996
YGL216W,26.18,OTHER,67,0.99,0.16677754800601,0.256464002132012
YGL215W,199.73,OTHER,,0.845,0.169538014674888,0.251442370152524
YGL214W,7.68,OTHER,,1.07,0.184934600056404,0.332951502845234
YGL213C,63.43,RICH,33,1.13,0.16761791448849,0.213141345326304
YGL212W,11.43,RICH,83,1.42,0.171239823344339,0.174665461384262
YGL211W,40.47,RICH,67,1.32,0.112345863134329,0.212550284541374
YGL210W,65.35,OTHER,7,1.25,0.126238565474746,0.273548002913822
YGL209W,241.85,OTHER,,0.87,0.105071054093955,0.234449906765206
YGL208W,13.35,OTHER,,0.83,0.0908962965511288,0.240873338199278
YGL207W,143.15,ESS,,0.99,0.117989486244223,0.210867794208192
YGL206C,136.67,CHEM,,1.03,0.135758391284524,0.180635639916946
YGL205W,3.13,OTHER,33,0.83,0.112846973733816,0.2685243031315
YGL204C,12.48,OTHER,,0.92,0.132384702578676,0.171091912777267
YGL203C,79.45,OTHER,,0.88,0.152979556779276,0.23743289934817
YGL202W,410.57,OTHER,,0.89,0.107186032566811,0.218748043003109
YGL201C,50.05,ESS,,0.87,0.162848917187117,0.207293919693956
YGL200C,288.23,CHEM,32,2.11,0.109280146333285,0.203705078316216
YGL199C,3.32,OTHER,,1.92,0.127232252016384,0.228034875076784
YGL198W,72.77,OTHER,,2.26,0.125128697275992,0.214983848006745
YGL197W,40.7,OTHER,,0.94,0.112524142585237,0.236049161786876
YGL196W,62,CHEM,,0.8,0.097648514465665,0.26732715667913
YGL195W,201.23,CHEM,45,0.9,0.121286691404976,0.233695012268523
YGL194C-A,199.27,OTHER,,,0.211378278528341,0.175977682938838
YGL194C,3.6,OTHER,46,1.02,0.126641238797515,0.307549627950034
YGL193C,19.22,OTHER,,0.94,0.0769517744775846,0.222539091706611
YGL192W,0.58,OTHER,,0.96,0.12745160656448,0.230166747708973
YGL191W,398.27,OTHER,9,1.18,0.257393862150958,0.196518717437515
YGL190C,77.92,OTHER,,0.88,0.210242150986527,0.281860578071957
YGL189C,792.5,OTHER,,0.96,0.268903458004337,0.154130315016901
YGL187C,63.03,OTHER,17,0.92,0.116794196572607,0.199960435443622
YGL186C,107.55,OTHER,,0.72,0.139848264534968,0.215777195359344
YGL185C,17.98,OTHER,,0.85,0.114452565556287,0.259861394866053
YGL184C,36.87,OTHER,11,0.99,0.169645505733719,0.227347943180938
YGL183C,1.37,OTHER,10,1.11,0.136940538127582,0.23104569340206
YGL182C,3.03,OTHER,,0.99,0.105533232631197,0.322014911613856
YGL181W,74.28,CHEM,,1.25,0.15030275220256,0.218222859982321
YGL180W,27.95,CHEM,37,0.92,0.092399964380113,0.296347414887946
YGL179C,47.55,OTHER,2,1.16,0.137261542350914,0.242157086590532
YGL178W,53.63,OTHER,,1.04,0.140590257068795,0.259009922393503
YGL177W,17.58,OTHER,,1.21,0.16794736996367,0.411281440664997
YGL176C,25.62,OTHER,,1.01,0.145539756676459,0.316962439881153
YGL175C,5.53,OTHER,13,0.98,0.11284026399186,0.260965442550522
YGL174W,18.17,OTHER,,0.9,0.111172748241441,0.246112065162935
YGL173C,156.85,OTHER,72,0.91,0.119156332148074,0.262629088599372
YGL172W,57.73,ESS,,1.18,0.151291386404432,0.268016022254734
YGL171W,84.38,ESS,,0.94,0.130857345072185,0.269773241486514
YGL170C,2.5,OTHER,,0.91,0.130625534853168,0.244303748576704
YGL169W,52.75,ESS,,1,0.156271786815294,0.21982138679552
YGL168W,4.02,RICH,97,0.87,0.0742502564740292,0.350238631535045
YGL167C,113.98,RICH,189,0.91,0.0959051207959622,0.249419048066148
YGL166W,23.42,CHEM,,1.72,0.132678039701472,0.201185306427196
YGL165C,1.52,CHEM,,1.64,0.120494734784604,0.323712146407842
YGL164C,49.1,CHEM,,0.92,0.0945464754464104,0.238676019571916
YGL163C,39,RICH,34,0.98,0.147878542545101,0.235212829401294
YGL162W,59.55,OTHER,36,2.17,0.205080807881619,0.243113196953094
YGL161C,78.73,OTHER,,1.43,0.090738619803937,0.306599029267058
YGL160W,37.93,OTHER,13,1.19,0.104972662227432,0.21550257267311
YGL159W,36.18,OTHER,,1.15,0.126237095377466,0.268733879221188
YGL158W,3.27,CHEM,20,0.94,0.11582221667099,0.24142299603662
YGL157W,108.05,OTHER,,0.95,0.1412413342792,0.260886958430081
YGL156W,12.6,OTHER,,0.82,0.120092024957445,0.233389762451173
YGL155W,69.48,ESS,,1.01,0.096138866555491,0.274041998465262
YGL154C,25.1,CHEM,,0.74,0.11212219286067,0.23594712509879
YGL153W,49.23,OTHER,,0.76,0.144787178532337,0.257691931650541
YGL152C,1.05,OTHER,,0.84,0.140928476309609,0.263827416037484
YGL151W,63.65,OTHER,,0.88,0.114290025467421,0.281094788821843
YGL150C,71,ESS,,1.12,0.140229620638309,0.242726650935537
YGL149W,0.72,OTHER,,1.32,0.0857198395345402,0.248525312108646
YGL148W,273.77,RICH,63,1.3,0.145689534371483,0.167206470810723
YGL147C,2312.02,RICH,,1.09,0.253620928942223,0.224200459947207
YGL146C,11.58,OTHER,,0.99,0.154399942690989,0.256547036940184
YGL145W,54.47,ESS,,1.04,0.18930605585193,0.274323176674586
YGL144C,27.9,OTHER,12,0.79,0.0886928658606138,0.177804706801022
YGL143C,25.38,RICH,,0.86,0.121158318836892,0.230101749883625
YGL142C,47.47,ESS,,0.73,0.142303998490379,0.248755680152945
YGL141W,35.18,OTHER,,0.945,0.134782108631754,0.253659445069676
YGL140C,55.8,OTHER,,0.82,0.15122332751211,0.255715333575489
YGL139W,46.95,OTHER,,0.83,0.12887264370911,0.217748474516105
YGL138C,0.57,CHEM,,1,0.169368037044917,0.240239461645043
YGL137W,115.77,ESS,,1.03,0.137703417735638,0.218352426802873
YGL136C,23.27,CHEM,,1.06,0.0897128813921149,0.228594061211173
YGL135W,2749.42,RICH,22,1.2,0.0928348962977847,0.170209277043157
YGL134W,31.33,OTHER,,1.1,0.100413917800843,0.280434957541598
YGL133W,53.77,OTHER,,0.79,0.163798404609601,0.250021968931996
YGL132W,0.73,CHEM,,0.6,0.123827268258693,0.320557622748627
YGL131C,23.63,CHEM,,0.72,0.0928556218003653,0.25012602190833
YGL130W,38.13,ESS,,0.81,0.12569743439915,0.218624889158292
YGL129C,38.73,RICH,,0.98,0.125717606411524,0.289859624855733
YGL128C,18.9,ESS,,0.85,0.118023684920275,0.242798641236219
YGL127C,50.65,RICH,74,1.16,0.176447370671784,0.226954040258477
YGL126W,40.2,OTHER,39,0.9,0.174358534090902,0.220030052463382
YGL125W,34.5,OTHER,,1.35,0.131217630136741,0.210972122595772
YGL124C,27.92,OTHER,,1.31,0.136887555041217,0.271037742957841
YGL123W,2812.6,ESS,,1.22,0.165262728543615,0.190911111453646
YGL123C-A,0.12,OTHER,,,0.128693860092164,0.173109609125913
YGL122C,164.47,ESS,,0.93,0.147114869182929,0.189003936932504
YGL121C,18.08,OTHER,,1.03,0.151166716174506,0.29224032170398
YGL120C,172.87,ESS,,0.89,0.179250144042609,0.252164183078877
YGL119W,34.12,OTHER,,1,0.165762916557584,0.263946193408079
YGL118C,3.62,CHEM,,1.06,0.0700896373251404,0.338652603823299
YGL117W,228.87,OTHER,,1.04,0.123324197903222,0.230450171097359
YGL116W,63.13,ESS,,0.83,0.139175134597372,0.237151286313621
YGL115W,118.03,RICH,,0.99,0.0938932912133626,0.270960942094456
YGL114W,61.35,OTHER,,1.03,0.160175587308683,0.27607825190672
YGL113W,24.67,ESS,,0.84,0.0867540919766585,0.260536217815968
YGL112C,82.15,ESS,,0.83,0.124511028663545,0.245346996473797
YGL111W,71.1,ESS,,0.79,0.108802043573885,0.237292560717995
YGL110C,37.28,CHEM,,0.83,0.118457697066265,0.243601738318725
YGL109W,3.27,CHEM,,0.93,0.185580158934782,0.247529742735061
YGL108C,60.78,OTHER,,0.84,0.152075611689404,0.288298674034463
YGL107C,46.57,RICH,,0.94,0.123635629632567,0.299719853519952
YGL106W,294,OTHER,,1.16,0.170935202723347,0.181222751712726
YGL105W,477.98,RICH,15,0.94,0.14644565935055,0.23105101942463
YGL104C,20.68,CHEM,,0.95,0.129844515736421,0.256615239384231
YGL103W,4454.13,ESS,,0.95,0.216095092580901,0.206187292056959
YGL102C,0.9,ESS,,0.84,0.190888645444517,0.248381143864544
YGL101W,103.58,CHEM,,0.83,0.127886401814557,0.219514916982047
YGL100W,81.67,OTHER,105,0.86,0.114706414339724,0.258182584887131
YGL099W,82.65,ESS,,0.81,0.131899817508777,0.265913454117899
YGL098W,33.25,ESS,,0.85,0.147200407669475,0.261785347236187
YGL097W,77.12,ESS,,1.17,0.149549676832866,0.19663275137891
YGL096W,51.18,OTHER,,1.25,0.164087590555726,0.238904680652732
YGL095C,57.05,RICH,20,1.14,0.151960518823022,0.308351270550278
YGL094C,39.43,OTHER,,0.79,0.102852075909094,0.196636124449792
YGL093W,24.82,OTHER,,0.89,0.123573552982095,0.277865428157961
YGL092W,88.08,ESS,,1.12,0.132918939790144,0.295466770760328
YGL091C,44.65,ESS,,1,0.171133780953001,0.218965281599594
YGL090W,10.48,CHEM,,1.09,0.122532661224303,0.235926551847415
YGL089C,1187.13,OTHER,,1.11,0.213863340292082,0.251395019778109
YGL088W,189.85,CHEM,,1.33,0.208796982682628,0.366555807316194
YGL087C,107.6,OTHER,,1.22,0.180212781599586,0.229036465591739
YGL086W,45.68,OTHER,34,1.03,0.19437608913185,0.256616776489307
YGL085W,26.05,OTHER,,0.93,0.13201693683804,0.319225375832886
YGL084C,58.27,RICH,,1.2,0.143106646714811,0.218155863538424
YGL083W,30.62,CHEM,,1.3,0.120908172955061,0.25264887090831
YGL082W,56.85,CHEM,,1.16,0.124380818436693,0.209346200722852
YGL081W,11.57,OTHER,,1.07,0.115564348780335,0.250562558724462
YGL080W,121.43,OTHER,,1.15,0.152944442912951,0.394166239444185
YGL079W,36.78,OTHER,,1.14,0.161307557107809,0.235209832262842
YGL078C,214.63,RICH,22,0.82,0.112392898528215,0.275809909386186
YGL077C,115.33,OTHER,10,0.86,0.155811915740539,0.223989180813963
YGL076C,1722.98,RICH,,0.85,0.169899468884376,0.179391141083005
YGL075C,4.23,ESS,,1,0.0968434770163982,0.218794358250271
YGL074C,0.07,ESS,,0.95,0.112260555568231,0.278725295957063
YGL073W,44.38,ESS,,1.09,0.140647061237783,0.264696257985463
YGL072C,21.72,CHEM,,1.21,0.0948162690146324,0.302468050857133
YGL071W,41.05,OTHER,,0.96,0.156480535752155,0.250171227854004
YGL070C,68.22,RICH,,0.94,0.124063867810494,0.186151603039289
YGL069C,0.73,ESS,,0.98,0.159158010192607,0.184097009387033
YGL068W,179.77,ESS,,1.07,0.208739106191945,0.173603242259471
YGL067W,41.37,OTHER,,1.03,0.0764659975602794,0.251360230894959
YGL066W,41.05,RICH,60,0.975,0.117018613877014,0.258271004627066
YGL065C,42.32,ESS,,1.11,0.162166273619287,0.243361844893399
YGL064C,21.93,RICH,,0.98,0.143192774612562,0.287699408385612
YGL063W,13.13,OTHER,,1.35,0.0885599485601849,0.213425888640549
YGL062W,116.67,OTHER,,1.18,0.110038423784486,0.183785166780425
YGL061C,36.55,ESS,,1.09,0.173686284616469,0.191897979841802
YGL060W,30.07,OTHER,14,1.03,0.121982611051145,0.235358236466305
YGL059W,47.1,OTHER,,1.25,0.093006467571037,0.246681247566286
YGL058W,63.67,RICH,50,1.09,0.147017723242415,0.25020001738518
YGL057C,17.05,OTHER,,1.16,0.147406340288285,0.268819993253204
YGL056C,83.6,CHEM,,1.52,0.125097687166635,0.265616757420809
YGL055W,754.78,ESS,,1.31,0.160901896141642,0.187332727405131
YGL054C,253.75,RICH,74,1.12,0.129944969448382,0.224998062743111
YGL053W,41.67,OTHER,,1.08,0.132689348174049,0.297810202306695
YGL052W,8.35,OTHER,,1.14,0.110831632954532,0.290873827426587
YGL051W,2.78,CHEM,7,1.38,0.104193064616764,0.272785518786742
YGL050W,75.12,OTHER,,0.96,0.122747898475674,0.202532392224875
YGL049C,66.93,OTHER,,0.97,0.126351931046331,0.262466743174451
YGL048C,230.85,ESS,,0.93,0.112246590054913,0.207946284781175
YGL047W,14.2,ESS,,1.01,0.0984777833465739,0.270333455125238
YGL045W,17.23,OTHER,78,1.09,0.104038697280428,0.190571076883947
YGL044C,44.33,ESS,,1,0.141171262750723,0.293003563440805
YGL043W,80.13,OTHER,,0.99,0.11334837063586,0.251159481338504
YGL042C,1.4,OTHER,,0.94,0.158871482962337,0.223757836378092
YGL041W-A,54.23,OTHER,,,0.123400118456629,0.202864314011996
YGL041C,18.28,OTHER,,0.96,0.103876493025673,0.312192167844346
YGL040C,125.55,ESS,,0.97,0.11310423413988,0.267250596829856
YGL039W,90.07,CHEM,,1.04,0.126416695797166,0.209191425133672
YGL038C,58.57,RICH,,1.09,0.0901497560935269,0.320959003006581
YGL037C,329.77,CHEM,,1.84,0.147775491523879,0.244257716989537
YGL036W,57.3,CHEM,,1.41,0.182142072526807,0.265430833260771
YGL035C,52.5,OTHER,,1.63,0.152158611329975,0.15930169945394
YGL034C,1.05,OTHER,,1.43,0.177795107373958,0.515304250837938
YGL033W,6.02,OTHER,,1.07,0.115024260483443,0.242148980093067
YGL032C,9.7,OTHER,,1.02,0.193240623991279,0.325961591678313
YGL031C,550.97,RICH,,1.22,0.228907931882716,0.178895684320269
YGL030W,3232.08,ESS,,1.17,0.190875540450798,0.131504049228218
YGL029W,143.48,OTHER,,1.1,0.195066722771895,0.182879914782644
YGL028C,236.2,OTHER,,0.97,0.111644208878103,0.215653608842971
YGL027C,82.58,OTHER,42,0.93,0.0896987751905113,0.287687009812961
YGL026C,397.45,OTHER,,1.12,0.0886116179905212,0.172885058176073
YGL025C,38.83,RICH,,1.21,0.167175497669741,0.218113812208805
YGL024W,3.65,OTHER,,1.17,0.123016373402953,0.534463812157529
YGL023C,54.57,CHEM,,1.36,0.135296297993289,0.211415195666083
YGL022W,268.95,ESS,,1.25,0.147448370319441,0.210077265128567
YGL021W,59.05,CHEM,,0.88,0.176464998744932,0.26178290016513
YGL020C,103.62,RICH,148,0.88,0.155546961902229,0.222852200541148
YGL019W,107.37,OTHER,84,0.91,0.127323887459568,0.200124341304102
YGL018C,25.08,ESS,,0.93,0.13844374231334,0.253130966989102
YGL017W,28.32,CHEM,,0.93,0.111368159750841,0.272836535183062
YGL016W,55.12,OTHER,,0.98,0.133253310596765,0.292046795483956
YGL015C,0.9,CHEM,,0.97,0.241028506774231,0.379636901780032
YGL014W,94.12,OTHER,,0.78,0.124894298009728,0.25633596171268
YGL013C,53.22,OTHER,61,0.86,0.162293148091846,0.245173901677349
YGL012W,258.5,RICH,,0.85,0.144886482432088,0.198826073611725
YGL011C,187.45,ESS,,0.87,0.111990714895212,0.248327002960138
YGL010W,39.82,OTHER,,0.9,0.110251695908836,0.306292553744837
YGL009C,112.67,CHEM,10,0.78,0.142565025447179,0.256552126901709
YGL008C,2474.6,ESS,,0.91,0.177744178716419,0.2224370946604
YGL007W,0.37,OTHER,,0.95,0.176702296825144,0.251193252081387
YGL006W,73.67,CHEM,8,0.83,0.146087886970858,0.224531643444913
YGL005C,39.87,OTHER,106,0.9,0.0758794498003006,0.222515095980609
YGL004C,26.65,OTHER,,0.85,0.113848337239113,0.229544087392914
YGL003C,47.4,RICH,142,0.74,0.0976402006875553,0.245670740368617
YGL002W,69.42,OTHER,,0.9,0.101326188127007,0.253708457282035
YGL001C,104.9,ESS,,1.02,0.0998608173850862,0.232377333548406
YGR001C,152.12,OTHER,,0.9,0.23207981867866,0.175733444071734
YGR002C,32.65,ESS,,0.68,0.100074287897768,0.218321175996929
YHL050C,1.67,OTHER,,1.84,0.109087815752039,0.237517376727136
YHL050W-A,0.08,OTHER,,,0.126521638099043,0.187061563164073
YHL049C,0.68,OTHER,,1.3,0.140897335671657,0.239124651633272
YHL048W,48.02,OTHER,,0.96,0.10611218569698,0.284188002710478
YHL047C,54.7,OTHER,7,0.76,0.111980296590502,0.216255191111051
YHL046W-A,0.07,OTHER,,,0.112527065369505,0.207226831378743
YHL046C,0.82,OTHER,,1.19,0.269385257836318,0.254068872479408
YHL045W,1.4,OTHER,,1.09,0.093399656449011,0.338454465182335
YHL044W,34.53,OTHER,1,1.12,0.123607337170998,0.303318017689903
YHL043W,0.63,OTHER,,0.75,0.124278177243492,0.317669248032573
YHL042W,9.13,OTHER,,0.85,0.104172529049585,0.198171949137891
YHL041W,0.83,OTHER,,1.05,0.0730655052035483,0.239484952807352
YHL040C,78.48,OTHER,9,0.84,0.105449577171358,0.218809732169812
YHL039W,54.57,OTHER,,1.04,0.113313090616514,0.207745350026515
YHL038C,22.15,OTHER,,0.94,0.110031609020819,0.271908106389192
YHL037C,0.97,OTHER,,0.97,0.0757540709167282,0.351851585468694
YHL036W,19.18,OTHER,,0.88,0.118070239877992,0.2169463737547
YHL035C,118.4,OTHER,,0.8,0.152832423761317,0.246484680001545
YHL034W-A,4.95,OTHER,,,0.161104113402552,0.22427409913604
YHL034C,485.62,RICH,,0.96,0.154878392967761,0.243896394700116
YHL033C,476.98,RICH,38,1.03,0.210663676094704,0.157996482755978
YHL032C,55.2,OTHER,,1.67,0.127304266857792,0.214274244877972
YHL031C,52.7,RICH,,1.47,0.17645975356832,0.221668686729817
YHL030W-A,1.53,OTHER,,,0.171503007418089,0.178350668296865
YHL030W,67.65,OTHER,17,0.935,0.140313289953755,0.205869354048012
YHL029C,60.02,OTHER,,1.13,0.139374568278392,0.214640921043107
YHL028W,14.5,OTHER,5,1.37,0.120367770044814,0.220269903383277
YHL027W,68.27,OTHER,,1.23,0.173477440989336,0.199843536076313
YHL026C,35.73,OTHER,,1.08,0.154828113231526,0.195829647566525
YHL025W,51.48,RICH,,1.81,0.159182723777445,0.266796195525065
YHL024W,3.3,OTHER,,1.21,0.16212955064203,0.198084255799714
YHL023C,34.2,OTHER,,0.92,0.136598364362279,0.232381670216711
YHL022C,8.43,OTHER,,1.09,0.132351822686657,0.266082527446035
YHL021C,54.62,OTHER,,1.41,0.120014497169505,0.220771283320737
YHL020C,51.63,RICH,,1.93,0.106252205468897,0.231757975811485
YHL019W-A,1.18,OTHER,,,0.150521165789679,0.236176123781929
YHL019C,18.18,OTHER,,1.17,0.144353108637649,0.229678093877203
